"Internal SKU","Primary EAN",Name,"Reference Numbers",Group,WMS,Warehouse,"Lot name",Quantity,Booked,Available,Required,"Expiration Date"
96858,8056001096858,"DIFFUSORE DI ESSENZA VANIGLIA e RUM ml 125",96858,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,19,0,19,0,2035-01-31
16439,8034052316439,"DIFFUSORE DI ESSENZA OLIO di ARGAN ml 125",16439,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,19,0,19,0,2035-01-31
15337,8002840153375,"DIAVOLINA GREEN POWER 18 maxi tavolette",15337,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,L1,65,0,65,0,2035-01-31
16585,8002840165859,"I - DIAVOLINA ACCENDITORE A GAS",16585,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,123,0,123,0,2035-01-31
15364,8002840153641,"DIAVOLINA ECO-RICCI  ACCEND. BOX 50",15364,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,121,0,121,0,2035-01-31
X501600,8006933069116,"ERBICIDA CONCENTRATO ml 500",X501600,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,L1,36,0,36,0,2035-01-31
15565,8002840155652,"DIAVOLINA COCCIO CON FIACCOLA ?16",15565,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,,0,0,0,0,
15500,8002840155003,"DIAVOLINA SACCO BRACE -  1,8kg.",15500,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,87,0,87,0,2040-02-13
15502,8002840155027,"DIAVOLINA SACCO BRACE -  2x1kg.",15502,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,89,0,89,0,2040-02-13
GT084,3353090079348,"DRYFEEL tg 07",GT084,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,15,0,15,0,2039-02-13
GT085,3353090079355,"DRYFEEL tg 08",GT085,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,15,0,15,0,2035-03-18
GT086,3353090079362,"DRYFEEL tg 09",GT086,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,15,0,15,0,2040-02-13
E0147,8006933026539,"ERBA PER GATTI",E0147,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,12,0,12,0,2030-02-16
6359,3121971387406,"Evergreen Antistress 2 kg",6359,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,45,67,0,67,0,2027-12-31
E0212,8006933027598,"FIORI ANNUALI PER GIARDINI ROCCIOSI",E0212,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,20,0,20,0,2030-03-18
E0203,8006933027505,"FIORI PER TAPPETO ERBOSO IN MISCUGLIO",E0203,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,02,14,0,14,0,2030-01-31
E0122,8006933026249,"FRAGOLA RAMPICANTE",E0122,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,24,0,24,0,2029-04-18
